identifier;name;all_names_french;all_names_english;iso_639_2_t;iso_639_2_b;iso_639_1;version
language-272;langues des signes;langues des signes;Sign Languages;sgn;;;0
language-273;langues himachalis;"langues himachalis; langues paharis occidentales";"Himachali languages; Western Pahari languages";him;;;0
language-274;langues non codées;langues non codées;Uncoded languages;mis;;;0
language-275;langues paharis occidentales;"langues himachalis; langues paharis occidentales";"Himachali languages; Western Pahari languages";him;;;0
language-276;lao;lao;Lao;lao;;lo;0
language-277;latin;latin;Latin;lat;;la;0
language-278;léonais;"asturien; bable; léonais; asturoléonais";"Asturian; Bable; Leonese; Asturleonese";ast;;;0
language-279;letton;letton;Latvian;lav;;lv;0
language-280;lezghien;lezghien;Lezghian;lez;;;0
language-281;limbourgeois;limbourgeois;"Limburgan; Limburger; Limburgish";lim;;li;0
language-282;lingala;lingala;Lingala;lin;;ln;0
language-283;lituanien;lituanien;Lithuanian;lit;;lt;0
language-284;lojban;lojban;Lojban;jbo;;;0
language-285;lozi;lozi;Lozi;loz;;;0
language-286;luba-katanga;luba-katanga;Luba-Katanga;lub;;lu;0
language-287;luba-lulua;luba-lulua;Luba-Lulua;lua;;;0
language-288;luiseno;luiseno;Luiseno;lui;;;0
language-289;lunda;lunda;Lunda;lun;;;0
language-290;luo (Kenya et Tanzanie);luo (Kenya et Tanzanie);Luo (Kenya and Tanzania);luo;;;0
language-291;Lushai;lushai;Lushai;lus;;;0
language-292;luxembourgeois;luxembourgeois;"Luxembourgish; Letzeburgesch";ltz;;lb;0
language-293;macédo-roumain;"aroumain; macédo-roumain";"Aromanian; Arumanian; Macedo-Romanian";rup;;;0
language-294;macédonien;macédonien;Macedonian;mkd;mac;mk;0
language-295;madourais;madourais;Madurese;mad;;;0
language-296;magahi;magahi;Magahi;mag;;;0
language-297;maithili;maithili;Maithili;mai;;;0
language-298;makassar;makassar;Makasar;mak;;;0
language-299;malais;malais;Malay;msa;may;ms;0
language-300;malayalam;malayalam;Malayalam;mal;;ml;0
language-301;maldivien;maldivien;"Divehi; Dhivehi; Maldivian";div;;dv;0
language-302;malgache;malgache;Malagasy;mlg;;mg;0
language-303;maltais;maltais;Maltese;mlt;;mt;0
language-304;mandar;mandar;Mandar;mdr;;;0
language-305;mandchou;mandchou;Manchu;mnc;;;0
language-306;mandingue;mandingue;Mandingo;man;;;0
language-307;manipuri;manipuri;Manipuri;mni;;;0
language-308;mannois;"manx; mannois";Manx;glv;;gv;0
language-309;manobo, langues;manobo, langues;Manobo languages;mno;;;0
language-310;manx;"manx; mannois";Manx;glv;;gv;0
language-311;maori;maori;Maori;mri;mao;mi;0
language-312;maori des îles Cook;"rarotonga; maori des îles Cook";"Rarotongan; Cook Islands Maori";rar;;;0
language-313;mapuce;"mapudungun; mapuche; mapuce";"Mapudungun; Mapuche";arn;;;0
language-314;mapuche;"mapudungun; mapuche; mapuce";"Mapudungun; Mapuche";arn;;;0
language-315;mapudungun;"mapudungun; mapuche; mapuce";"Mapudungun; Mapuche";arn;;;0
language-316;marathe;marathe;Marathi;mar;;mr;0
language-317;mari;mari;Mari;chm;;;0
language-318;marshall;marshall;Marshallese;mah;;mh;0
language-319;marvari;marvari;Marwari;mwr;;;0
language-320;massaï;massaï;Masai;mas;;;0
language-321;maya, langues;maya, langues;Mayan languages;myn;;;0
language-322;mendé;mendé;Mende;men;;;0
language-323;mi'kmaq;"mi'kmaq; micmac";"Mi'kmaq; Micmac";mic;;;0
language-324;micmac;"mi'kmaq; micmac";"Mi'kmaq; Micmac";mic;;;0
language-325;minangkabau;minangkabau;Minangkabau;min;;;0
language-326;mirandais;mirandais;Mirandese;mwl;;;0
language-327;mohawk;mohawk;Mohawk;moh;;;0
language-328;moksa;moksa;Moksha;mdf;;;0
language-329;moldave;"roumain; moldave";"Romanian; Moldavian; Moldovan";ron;rum;ro;0
language-330;môn-khmer, langues;môn-khmer, langues;Mon-Khmer languages;mkh;;;0
language-331;mongo;mongo;Mongo;lol;;;0
language-332;mongol;mongol;Mongolian;mon;;mn;0
language-333;moré;moré;Mossi;mos;;;0
language-334;mounda, langues;mounda, langues;Munda languages;mun;;;0
language-335;multilingue;multilingue;Multiple languages;mul;;;0
language-336;muskogee;muskogee;Creek;mus;;;0
language-337;n'ko;n'ko;N'Ko;nqo;;;0
